	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
0	An Italian became the world's greatest tenor.	exists x. (Italian(x) & WorldsGreatestTenor(x))	There was an Italian who became the world's greatest tenor.	exists x. (Italian(x) & WorldsGreatestTenor(x))	e	True	False
1	Every Italian man wants to be a great tenor. ## Some Italian men are great tenors.	exists z500. all x. ((Italian(x, z500) & Man(z500)) -> WantsToBeGreatTenor(x)) ## exists z500. exists z500. exists x. ((Italian(x, z500) & Man(z500)) & (Great(x, z500) & Tenor(z500)))	There are Italian men who want to be a great tenor.	exists z500. exists x. ((Italian(x, z500) & Man(z500)) & WantsToBeGreatTenor(x))	e	False	False
2	All Italian men want to be a great tenor. ## Some Italian men are great tenors.	exists z500. all x. ((Italian(x, z500) & Man(z500)) -> WantsToBeGreatTenor(x)) ## exists z500. exists z500. exists x. ((Italian(x, z500) & Man(z500)) & (Great(x, z500) & Tenor(z500)))	There are Italian men who want to be a great tenor.	exists z500. exists x. ((Italian(x, z500) & Man(z500)) & WantsToBeGreatTenor(x))	e	False	False
3	Each Italian tenor wants to be great. ## Some Italian tenors are great.	exists z500. all x. ((Italian(x, z500) & Tenor(z500)) -> WantsToBeGreat(x)) ## exists z500. exists x. ((Italian(x, z500) & Tenor(z500)) & Great(x))	There are Italian tenors who want to be great.	exists z500. exists x. ((Italian(x, z500) & Tenor(z500)) & WantsToBeGreat(x))	e	False	False
4	The really ambitious tenors are Italian.	all x. (Tenor(x) & Ambitious(x) -> Italian(x))	There are really ambitious tenors who are Italian.	exists x. (Tenor(x) & Ambitious(x) & Italian(x))	e	False	False
5	No really great tenors are modest.	exists z500. all x. (Tenor(x) & (Really(x, z500) & Great(z500)) -> not Modest(x))	There are really great tenors who are modest.	exists x. (Tenor(x) & Great(x) & Modest(x))	c	False	False
6	Many great tenors are German.	exists x. (Tenor(x) & Great(x) & German(x))	There are great tenors who are German.	exists x. (Tenor(x) & Great(x) & German(x))	e	True	False
7	Several great tenors are British.	exists x. (Tenor(x) & Great(x) & British(x))	There are great tenors who are British.	exists x. (Tenor(x) & Great(x) & British(x))	e	True	False
8	Few great tenors are poor.	exists z500. exists x. ((Great(x, z500) & Tenor(z500)) & Poor(x))	There are great tenors who are poor.	exists z500. exists x. ((Great(x, z500) & Tenor(z500)) & Poor(x))	n	True	False
9	Both leading tenors are excellent. ## Leading tenors who are excellent are indispensable.	exists z500. all x.all y. ((Leading(x, z500) & Tenor(z500)) & LeadingTenor(y) -> Excellent(x) & Excellent(y)) ## exists z500. all x. ((Leading(x, z500) & Tenor(z500)) & Excellent(x) -> Indispensable(x))	Both leading tenors are indispensable.	all x.all y. (Tenor(x) & Tenor(y) -> (Indispensable(x) & Indispensable(y)))	e	False	False
10	At least three tenors will take part in the concert.	exists x. (Tenor(x) & TakesPartInConcert(x))	There are tenors who will take part in the concert.	exists x. (Tenor(x) & TakesPartInConcert(x))	e	True	False
